系统编码,物料名称,规格,,,单位名称,1-3个月,3-6个月,6-12个月,12个月以上,单价
2510-003,铜箔,0.3*450mm,0.3,450,kg,0,0,51,0,50.469027
2510-004,铜箔,0.6*150mm,0.6,150,kg,0,12,9,0,50.75
2510-006,铜箔,0.5*250mm,0.5,250,kg,7,0,0,0,50.362069
2510-007,铜箔,1.5*200mm,1.5,200,kg,17,0,0,0,49.088496
2510-009,铜箔,0.6*180mm,0.6,180,kg,68,0,0,0,54.051282
2510-010,铜箔,0.6*300mm,0.6,300,kg,62,0,0,0,49.557522
2510-011,铜箔,0.4*150mm,0.4,150,kg,23,0,0,0,44.700855
2510-013,铜箔,1.2*200,1.2,200,kg,0,0,0,11,#N/A
2510-015,铜箔,0.3*100mm,0.3,100,kg,26,0,0,0,53.09
2510-016,铜箔,0.4*500mm,0.4,500,kg,0,0,0,33,54.051282
2510-019,铜箔,0.3*150mm,0.3,150,kg,0,0,63,0,49.456897
2510-020,铜箔,1*100mm,1,100,kg,0,0,23,0,46.153846
2510-025,铜箔,0.4*330mm,0.4,330,kg,0,0,0,16,54.051282
2510-031,铜箔,0.5*100mm,0.5,100,kg,9,0,0,0,54.051282
2510-036,铜箔,0.3*500mm,0.3,500,kg,0,0,225,0,50.460177
2510-037,铜箔,0.5*600mm,0.5,600,kg,0,0,0,30,45.153846
2510-038,铜箔,0.3*170mm,0.3,170,kg,45,164,0,0,50.460177
2510-050,铜箔,0.5*180mm,0.5,180,kg,0,32,0,0,54.068966
2510-054,铜箔,0.4*140mm,0.4,140,kg,9,0,0,0,54.051282
2510-056,铜箔,1.1*300mm,1.1,300,kg,29,0,0,0,50.646018
2510-057,软铜箔（退火处理）,1.8*400mm,1.8,400,kg,0,0,0,60,38.461538
2510-064,铜箔,0.6*80mm,0.6,80,kg,92,0,0,0,51.59292
2510-069,铜箔,0.3*60mm,0.3,60,kg,0,0,0,6,54.051282
2510-070,铜箔,0.3*300mm,0.3,300,kg,46,0,0,0,50.862069
2510-080,铜箔,0.5*140mm,0.5,140,kg,0,0,0,22.5,54.051282
2510-082,铜箔,0.8*55mm,0.8,55,kg,0,0,6.5,70,48.239316
2510-085,铜箔,0.6*70mm,0.6,70,kg,0,0,10,0,37.60683761
2510-086,铜箔,0.5*500mm,0.5,500,kg,0,0,0,52,54.051282
2510-087,铜箔,0.4*60mm,0.4,60,kg,0,0,0,4,54.051282
2510-088,铜箔,0.6*160mm,0.6,160,kg,0,57,140,13.5,54.051282
2510-089,铜箔,0.5*450mm,0.5,450,kg,0,0,24,133,54.051282
2510-093,铜箔,0.5*40mm,0.5,40,kg,0,0,0,12.5,54.051282
2510-095,铜箔,0.4*43mm,0.4,43,kg,0,0,0,5,54.051282
2510-107,铜箔,0.7*530mm,0.7,530,kg,208,0,0,0,49.761062
2510-108,铜箔,0.9*110mm,0.9,110,kg,0,0,14,0,54.051282
2510-109,铜箔,1.2*110mm,1.2,110,kg,130.5,0,0,0,51.327434
2510-111,铜箔,0.3*180mm,0.3,180,kg,0,0,209,0,50.619469
2510-114,铜箔,1*80mm,1,80,kg,0,0,0,4.5,34.18803419
2510-116,铜箔,1.2*250mm,1.2,250,kg,46,0,67,0,52.128205
2510-119,铜箔,0.6*450mm,0.6,450,kg,29,16,0,0,49.911504
2510-123,铜箔,0.3*350mm,0.3,350,kg,0,0,191,0,50.75
2510-124,铜箔,0.4*440mm,0.4,440,kg,0,0,0,209,55.025641
2510-126,铜箔,0.4*310,0.4,310,kg,0,0,0,97,51.594828
2510-127,铜箔,0.5*350,0.5,350,kg,22,0,0,85,50.663793
2510-129,铜箔,0.7*140mm,0.7,140,kg,54,105.5,635,0,51.224138
2510-132,铜箔,0.08*200,0.08,200,kg,0,0,33,0,51.28205128
2510-133,铜箔,0.7*450mm,0.7,450,kg,0,0,0,64,47.008547
2510-135,铜箔,0.7*55mm,0.7,55,kg,0,0,50,62.5,54.786325
2510-136,铜箔,0.6*350mm,0.6,350,kg,0,0,26,0,50.75
2510-137,铜箔,0.9*250mm,0.9,250,kg,40,0,0,0,51.566372
2510-138,铜箔,0.8*75mm,0.8,75,kg,0,0,0,10,52.13675214
2510-142,铜箔,1.3*250mm,1.3,250,kg,185,0,0,0,50.42735
2510-147,铜箔,0.45*90mm,0.45,90,kg,0,0,72,0,57.403419
2510-148,铜箔,0.35*150mm,0.35,150,kg,0,0,0,72,57.403419
2510-149,铜箔,0.4*70mm,0.4,70,kg,0,0,0,18,50
2510-151,铜箔,0.8*300mm,0.8,300,kg,0,0,0,37,52.586207
2510-153,铜箔,0.7*300mm,0.7,300,kg,2689,0,0,0,50.114159
2510-156,铜箔,0.6*65mm,0.6,65,kg,8,0,0,0,50.663793
2510-157,铜箔,1*250mm,1,250,kg,119,0,0,0,51.504425
2510-159,铜箔,0.7*100,0.7,100,kg,6,0,0,0,#N/A
2510-160,铜箔,0.8*160mm,0.8,160,kg,0,0,129,0,50.619469
2510-162,铜箔,0.3*440mm,0.3,440,kg,0,47,483,0,50.460177
2510-163,铜箔,0.5*300mm,0.5,300,kg,131,0,0,0,50.442478
2510-165,铜箔,0.8*150mm,0.8,150,kg,0,54.5,0,0,50.75
2510-166,铜箔,0.3*65mm,0.3,65,kg,0,0,11,0,55
2510-167,铜箔,0.45*47.5mm,0.45,47.5,kg,0,0,8,0,55
2510-173,铜箔,0.5*150mm,0.5,150,kg,10,0,0,0,48
2510-175,铜箔,1.5*60mm,1.5,60,kg,10,0,0,0,#N/A
2510-176,铜箔,0.6*140mm,0.6,140,kg,8,0,0,0,#N/A
2510-177,铜箔,0.7*125mm,0.7,125,kg,48,0,0,0,49.088496
2510-179,铜箔,1.3*200mm,1.3,200,kg,22,0,0,0,#N/A
2510-180,铜箔,0.5*125mm,0.5,125,kg,7,0,0,0,#N/A
2510-183,铜箔,0.6*164mm,0.6,164,kg,63,0,0,0,#N/A
